antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'energy_level_Low'}),frozenset({'complexity_level_Low'}),0.3338060651044428,0.33334216944120454,0.18146272929699925,0.5436172324796505,1.630808467440345,1.0,0.07019109138245233,1.4607427755892868,0.5806225276519468,0.37362187534111996,0.3154167751426433,0.5439954949674595
frozenset({'complexity_level_Low'}),frozenset({'energy_level_Low'}),0.33334216944120454,0.3338060651044428,0.18146272929699925,0.5443737574552684,1.6308084674403451,1.0,0.07019109138245233,1.4621500534621925,0.5802184998880633,0.37362187534111996,0.3160756670410658,0.5439954949674595
frozenset({'complexity_level_High'}),frozenset({'energy_level_High'}),0.33332891527939773,0.33301081539603433,0.1759622521471742,0.5278937532307447,1.5852150405473922,1.0,0.06496011827490632,1.4127946604569301,0.5537524695421709,0.3588302070382183,0.29218305533758376,0.5281458815904967
frozenset({'energy_level_High'}),frozenset({'complexity_level_High'}),0.33301081539603433,0.33332891527939773,0.1759622521471742,0.5283980099502488,1.5852150405473924,1.0,0.06496011827490632,1.413630770833415,0.5534883744113359,0.3588302070382183,0.29260170291111887,0.5281458815904967
"frozenset({'energy_level_Low', 'popularity_level_Low'})",frozenset({'complexity_level_Low'}),0.12130208885590076,0.33334216944120454,0.06711907538967235,0.5533216783216782,1.6599210332411125,1.0,0.026683973932696635,1.4924785873958157,0.4524441201135183,0.17319926123537857,0.3299736368446852,0.3773367834948351
"frozenset({'popularity_level_Low', 'complexity_level_Low'})",frozenset({'energy_level_Low'}),0.11536422436645107,0.3338060651044428,0.06711907538967235,0.5818014705882353,1.7429325929299655,1.0,0.02860979760008124,1.5930087937722335,0.4818416324267641,0.1756808326105811,0.3722570748451381,0.39143676864730403
"frozenset({'popularity_level_Medium', 'energy_level_Low'})",frozenset({'complexity_level_Low'}),0.11224949634185134,0.33334216944120454,0.06262591453716466,0.5579171094580233,1.6737069612083078,1.0,0.025208423907889382,1.5079928330668904,0.453420012953598,0.16352876029625527,0.3368668749132956,0.3728949364387532
"frozenset({'popularity_level_Medium', 'complexity_level_Low'})",frozenset({'energy_level_Low'}),0.11352189587530484,0.3338060651044428,0.06262591453716466,0.5516637478108581,1.652647466540942,1.0,0.024731617171832886,1.485924753224075,0.4454822671858391,0.16279069767441862,0.3270184120492932,0.3696377107130526
"frozenset({'popularity_level_High', 'energy_level_Low'})",frozenset({'complexity_level_Low'}),0.1002544799066907,0.33334216944120454,0.05171773937016223,0.5158646218931783,1.5475528426479728,1.0,0.018298693541866307,1.3770070536173482,0.3932428705753998,0.13542968207691242,0.27378730749923486,0.33550686363048576
"frozenset({'popularity_level_High', 'complexity_level_Low'})",frozenset({'energy_level_Low'}),0.10445604919944863,0.3338060651044428,0.05171773937016223,0.49511483314300214,1.483240974031099,1.0,0.016849676610538204,1.3194959539864004,0.3638020417905596,0.1337950898367851,0.24213484931208298,0.32502416265051637
"frozenset({'complexity_level_High', 'popularity_level_Low'})",frozenset({'energy_level_High'}),0.11334959177181635,0.33301081539603433,0.05728448732902131,0.505378858746492,1.5176049406847893,1.0,0.01953784734828113,1.348484989771422,0.38466906603892526,0.14723215806506557,0.25842704398993166,0.33869937962200225
"frozenset({'popularity_level_Low', 'energy_level_High'})",frozenset({'complexity_level_High'}),0.10185823348531439,0.33332891527939773,0.05728448732902131,0.5623942745608328,1.6872051861730373,1.0,0.023332192849085838,1.5234514677602822,0.4534961805765,0.15158529741863075,0.3435957618852405,0.3671250071758397
"frozenset({'complexity_level_High', 'popularity_level_Medium'})",frozenset({'energy_level_High'}),0.10937334322977416,0.33301081539603433,0.061565581592620086,0.5628938439166262,1.6903170044108107,1.0,0.025143075381082666,1.525920363557506,0.45854791320745364,0.16166643463733818,0.34465780529423157,0.37388473290358676
"frozenset({'popularity_level_Medium', 'energy_level_High'})",frozenset({'complexity_level_High'}),0.1175776693881879,0.33332891527939773,0.061565581592620086,0.52361627775899,1.5708696538375393,1.0,0.022373544594375766,1.3994413612296412,0.41183221680738635,0.15812765957446812,0.28542915215730486,0.3541577352849187
"frozenset({'complexity_level_High', 'popularity_level_High'})",frozenset({'energy_level_High'}),0.11060598027780723,0.33301081539603433,0.05711218322553282,0.5163571000599162,1.5505715616047984,1.0,0.02027919554554254,1.3790943373439284,0.399234216739304,0.14776585165117795,0.2748864432828042,0.34392979381105265
"frozenset({'popularity_level_High', 'energy_level_High'})",frozenset({'complexity_level_High'}),0.11357491252253207,0.33332891527939773,0.05711218322553282,0.5028591434239701,1.5085974254662888,1.0,0.01925438083144472,1.3410104518710895,0.38032839992694756,0.1465197728586487,0.2542936569922204,0.33709898202651045
